Sand (%),Silt (%),Clay (%),Ca (%),Mg (%),K (%),Na (%),pH
79.6,0.6,14.4,0.0400,0.0130,0.0008,0.0014,6.4
77.6,7.6,14.8,0.1000,0.0250,0.0080,0.0013,7.2
41.2,5.6,53.2,0.2740,0.0480,0.0200,0.2050,9.5
49.0,8.0,43.0,0.0510,0.0270,0.0200,0.0020,7.0
91.2,8.2,0.6,0.0130,0.0060,0.0010,0.0030,
52.0,10.0,38.0,0.0130,0.0120,0.0030,0.0014,5.8
30.0,20.0,50.0,0.0110,0.0160,0.0070,0.0012,5.1
8.0,65.0,27.0,0.1090,0.0680,0.0070,0.0006,6.1
52.0,40.0,8.0,0.1470,0.0320,0.0100,0.0005,6.5
51.0,38.0,11.0,0.1860,0.0210,0.0100,0.0013,6.6
5.0,75.0,20.0,0.0540,0.0200,0.0070,0.0012,5.8
46.0,38.0,16.0,0.0510,0.0250,0.0020,0.0002,5.9
53.0,20.0,27.0,0.0510,0.0070,0.0040,0.0009,5.7
62.0,22.0,17.0,0.0710,0.0050,0.0030,0.0009,5.9
27.0,52.0,21.0,0.0870,0.0070,0.0040,0.0013,5.8
25.0,55.0,20.0,0.0030,0.0002,0.0010,0.0004,5.0
49.0,33.0,18.0,0.1440,0.0040,0.0030,0.0018,6.4
52.0,17.0,31.0,0.0290,0.0080,0.0020,0.0002,5.5
58.0,23.0,19.0,0.1200,0.0020,0.0020,0.0013,6.7
72.0,25.0,3.0,0.0500,0.0020,0.0220,0.0080,6.4
